"v_bat","battery_soc","temperature","box_id","event_time"
70.92,58.43,34.59,"7832",2024-11-06 14:01:41
70.92,58.43,34.59,"7832",2024-11-06 14:01:41
70.92,58.43,34.59,"7832",2024-11-06 14:01:41
70.92,58.43,34.59,"7832",2024-11-06 14:01:41
70.92,58.5,34.56,"7832",2024-11-06 14:00:42
70.92,58.5,34.56,"7832",2024-11-06 14:00:42
70.92,58.5,34.56,"7832",2024-11-06 14:00:42
70.92,58.5,34.56,"7832",2024-11-06 14:00:42
70.92,58.5,34.56,"7832",2024-11-06 14:00:42
71.08,58.57,34.55,"7832",2024-11-06 13:59:46
71.08,58.57,34.55,"7832",2024-11-06 13:59:46
71.08,58.57,34.55,"7832",2024-11-06 13:59:46
71.08,58.57,34.55,"7832",2024-11-06 13:59:46
71.08,58.57,34.55,"7832",2024-11-06 13:59:46
71.08,58.57,34.55,"7832",2024-11-06 13:59:36
71.08,58.6,34.56,"7832",2024-11-06 13:58:36
71.08,58.6,34.56,"7832",2024-11-06 13:58:36
71.08,58.6,34.56,"7832",2024-11-06 13:58:36
71.08,58.6,34.56,"7832",2024-11-06 13:58:36
71.08,58.72,34.54,"7832",2024-11-06 13:57:21
71.08,58.72,34.54,"7832",2024-11-06 13:57:21
71.08,58.72,34.54,"7832",2024-11-06 13:57:21
71.08,58.72,34.54,"7832",2024-11-06 13:57:21
71.08,58.72,34.54,"7832",2024-11-06 13:57:21
71.08,58.72,34.54,"7832",2024-11-06 13:57:17
71.08,58.78,34.51,"7832",2024-11-06 13:56:11
71.08,58.78,34.51,"7832",2024-11-06 13:56:11
71.08,58.78,34.51,"7832",2024-11-06 13:56:11
71.08,58.78,34.51,"7832",2024-11-06 13:56:11
71.08,58.83,34.5,"7832",2024-11-06 13:55:24
71.08,58.83,34.5,"7832",2024-11-06 13:55:24
71.08,58.83,34.5,"7832",2024-11-06 13:55:24
71.08,58.83,34.5,"7832",2024-11-06 13:55:24
71.08,58.83,34.5,"7832",2024-11-06 13:55:24
71.08,58.87,34.49,"7832",2024-11-06 13:54:14
71.08,58.87,34.49,"7832",2024-11-06 13:54:14
71.08,58.87,34.49,"7832",2024-11-06 13:54:14
71.08,58.87,34.49,"7832",2024-11-06 13:54:14
71.08,58.96,34.49,"7832",2024-11-06 13:53:21
71.08,58.96,34.49,"7832",2024-11-06 13:53:21
71.08,58.96,34.49,"7832",2024-11-06 13:53:21
71.08,58.96,34.49,"7832",2024-11-06 13:53:21
71.08,58.96,34.49,"7832",2024-11-06 13:53:19
71.08,58.99,34.48,"7832",2024-11-06 13:52:13
71.08,58.99,34.48,"7832",2024-11-06 13:52:13
71.08,58.99,34.48,"7832",2024-11-06 13:52:13
71.08,58.99,34.48,"7832",2024-11-06 13:52:13
71.08,58.99,34.48,"7832",2024-11-06 13:52:13
71.08,59.09,34.48,"7832",2024-11-06 13:51:14
71.08,59.09,34.48,"7832",2024-11-06 13:51:14
71.08,59.09,34.48,"7832",2024-11-06 13:51:14
71.08,59.09,34.48,"7832",2024-11-06 13:51:14
71.08,59.09,34.48,"7832",2024-11-06 13:51:14
71.33,59.14,34.46,"7832",2024-11-06 13:50:06
71.33,59.14,34.46,"7832",2024-11-06 13:50:06
71.33,59.14,34.46,"7832",2024-11-06 13:50:06
71.33,59.14,34.46,"7832",2024-11-06 13:50:06
71.33,59.14,34.46,"7832",2024-11-06 13:50:06
71.33,59.18,34.44,"7832",2024-11-06 13:49:04
71.33,59.18,34.44,"7832",2024-11-06 13:49:04
71.33,59.18,34.44,"7832",2024-11-06 13:49:04
71.33,59.18,34.44,"7832",2024-11-06 13:49:04
71.33,59.18,34.44,"7832",2024-11-06 13:49:03
71.33,59.24,34.44,"7832",2024-11-06 13:48:02
71.33,59.24,34.44,"7832",2024-11-06 13:48:02
71.33,59.24,34.44,"7832",2024-11-06 13:48:02
71.33,59.24,34.44,"7832",2024-11-06 13:48:02
71.33,59.3,34.39,"7832",2024-11-06 13:47:09
71.33,59.3,34.39,"7832",2024-11-06 13:47:09
71.33,59.3,34.39,"7832",2024-11-06 13:47:09
71.33,59.3,34.39,"7832",2024-11-06 13:47:09
71.33,59.3,34.39,"7832",2024-11-06 13:47:09
71.08,59.37,34.3,"7832",2024-11-06 13:46:12
71.08,59.37,34.3,"7832",2024-11-06 13:46:12
71.08,59.37,34.3,"7832",2024-11-06 13:46:12
71.08,59.37,34.3,"7832",2024-11-06 13:46:12
71.08,59.37,34.3,"7832",2024-11-06 13:46:12
71.33,59.42,34.2,"7832",2024-11-06 13:45:12
71.33,59.42,34.2,"7832",2024-11-06 13:45:12
71.33,59.42,34.2,"7832",2024-11-06 13:45:12
71.33,59.42,34.2,"7832",2024-11-06 13:45:12
71.33,59.42,34.2,"7832",2024-11-06 13:45:12
71.33,59.42,34.2,"7832",2024-11-06 13:45:09
71.08,59.46,34.19,"7832",2024-11-06 13:44:33
71.08,59.46,34.19,"7832",2024-11-06 13:44:33
71.08,59.46,34.19,"7832",2024-11-06 13:44:30
71.08,59.46,34.19,"7832",2024-11-06 13:44:18
71.08,59.46,34.19,"7832",2024-11-06 13:44:08
71.08,59.46,34.19,"7832",2024-11-06 13:44:08
71.08,59.46,34.19,"7832",2024-11-06 13:44:08
71.08,59.46,34.19,"7832",2024-11-06 13:44:08
71.08,59.46,34.19,"7832",2024-11-06 13:44:07
71.5,59.55,34.13,"7832",2024-11-06 13:42:58
71.5,59.55,34.13,"7832",2024-11-06 13:42:58
71.5,59.55,34.13,"7832",2024-11-06 13:42:58
71.5,59.55,34.13,"7832",2024-11-06 13:42:58
71.33,59.59,34.11,"7832",2024-11-06 13:42:03
71.33,59.59,34.11,"7832",2024-11-06 13:42:03
71.33,59.59,34.11,"7832",2024-11-06 13:42:03
71.33,59.59,34.11,"7832",2024-11-06 13:42:03
71.33,59.59,34.11,"7832",2024-11-06 13:42:01
71.5,59.67,34.04,"7832",2024-11-06 13:40:53
71.5,59.67,34.04,"7832",2024-11-06 13:40:52
71.5,59.67,34.04,"7832",2024-11-06 13:40:52
71.5,59.67,34.04,"7832",2024-11-06 13:40:52
71.5,59.67,34.04,"7832",2024-11-06 13:40:52
71.5,59.72,33.96,"7832",2024-11-06 13:39:54
71.5,59.72,33.96,"7832",2024-11-06 13:39:54
71.5,59.72,33.96,"7832",2024-11-06 13:39:54
71.5,59.72,33.96,"7832",2024-11-06 13:39:54
71.5,59.8,33.88,"7832",2024-11-06 13:39:01
71.5,59.8,33.88,"7832",2024-11-06 13:39:01
71.5,59.8,33.88,"7832",2024-11-06 13:39:01
71.5,59.8,33.88,"7832",2024-11-06 13:39:01
71.5,59.8,33.88,"7832",2024-11-06 13:39:01
71.5,59.86,33.77,"7832",2024-11-06 13:37:39
71.5,59.86,33.77,"7832",2024-11-06 13:37:39
71.5,59.86,33.77,"7832",2024-11-06 13:37:39
71.5,59.86,33.77,"7832",2024-11-06 13:37:39
71.5,59.9,33.72,"7832",2024-11-06 13:36:46
71.5,59.9,33.72,"7832",2024-11-06 13:36:46
71.5,59.9,33.72,"7832",2024-11-06 13:36:46
71.5,59.9,33.72,"7832",2024-11-06 13:36:46
71.5,59.9,33.72,"7832",2024-11-06 13:36:46
71.5,59.9,33.72,"7832",2024-11-06 13:36:38
71.5,59.95,33.69,"7832",2024-11-06 13:35:31
71.5,59.95,33.69,"7832",2024-11-06 13:35:31
71.5,59.95,33.69,"7832",2024-11-06 13:35:31
71.5,59.95,33.69,"7832",2024-11-06 13:35:31
71.5,60.03,33.72,"7832",2024-11-06 13:34:40
71.5,60.03,33.72,"7832",2024-11-06 13:34:40
71.5,60.03,33.72,"7832",2024-11-06 13:34:40
71.5,60.03,33.72,"7832",2024-11-06 13:34:40
71.5,60.03,33.72,"7832",2024-11-06 13:34:35
71.5,60.07,33.79,"7832",2024-11-06 13:33:29
71.5,60.07,33.79,"7832",2024-11-06 13:33:29
71.5,60.07,33.79,"7832",2024-11-06 13:33:29
71.5,60.07,33.79,"7832",2024-11-06 13:33:29
71.5,60.07,33.79,"7832",2024-11-06 13:33:29
71.5,60.07,33.79,"7832",2024-11-06 13:33:24
71.5,60.14,33.79,"7832",2024-11-06 13:32:18
71.5,60.14,33.79,"7832",2024-11-06 13:32:18
71.5,60.14,33.79,"7832",2024-11-06 13:32:18
71.5,60.14,33.79,"7832",2024-11-06 13:32:18
71.67,60.22,33.78,"7832",2024-11-06 13:31:09
71.67,60.22,33.78,"7832",2024-11-06 13:31:09
71.67,60.22,33.78,"7832",2024-11-06 13:31:09
71.67,60.22,33.78,"7832",2024-11-06 13:31:09
71.67,60.22,33.78,"7832",2024-11-06 13:31:09
71.67,60.29,33.76,"7832",2024-11-06 13:30:05
71.67,60.29,33.76,"7832",2024-11-06 13:30:05
71.67,60.29,33.76,"7832",2024-11-06 13:30:05
71.08,60.34,33.74,"7832",2024-11-06 13:29:14
71.08,60.34,33.74,"7832",2024-11-06 13:29:14
71.08,60.34,33.74,"7832",2024-11-06 13:29:14
71.08,60.34,33.74,"7832",2024-11-06 13:29:14
71.08,60.34,33.74,"7832",2024-11-06 13:29:14
71.67,60.41,33.75,"7832",2024-11-06 13:28:09
71.67,60.41,33.75,"7832",2024-11-06 13:28:09
71.67,60.41,33.75,"7832",2024-11-06 13:28:09
71.67,60.41,33.75,"7832",2024-11-06 13:28:09
71.67,60.41,33.75,"7832",2024-11-06 13:28:09
71.67,60.46,33.76,"7832",2024-11-06 13:27:03
71.67,60.46,33.76,"7832",2024-11-06 13:27:03
71.67,60.46,33.76,"7832",2024-11-06 13:27:03
71.67,60.46,33.76,"7832",2024-11-06 13:27:03
71.67,60.49,33.8,"7832",2024-11-06 13:26:26
71.67,60.49,33.8,"7832",2024-11-06 13:26:26
71.67,60.49,33.8,"7832",2024-11-06 13:26:26
71.67,60.49,33.8,"7832",2024-11-06 13:26:18
71.08,60.55,33.85,"7832",2024-11-06 13:25:09
71.08,60.55,33.85,"7832",2024-11-06 13:25:09
71.08,60.55,33.85,"7832",2024-11-06 13:25:09
71.08,60.55,33.85,"7832",2024-11-06 13:25:09
71.08,60.55,33.85,"7832",2024-11-06 13:25:09
71.92,60.62,33.91,"7832",2024-11-06 13:24:03
71.92,60.62,33.91,"7832",2024-11-06 13:24:03
71.92,60.62,33.91,"7832",2024-11-06 13:24:03
