"v_bat","battery_soc","temperature","box_id","event_time"
90.17,92.42,30.36,"7832",2024-11-05 06:13:26
90.17,92.42,30.36,"7832",2024-11-05 06:13:26
90.17,92.42,30.36,"7832",2024-11-05 06:13:26
90.17,92.42,30.36,"7832",2024-11-05 06:13:26
90.17,92.42,30.36,"7832",2024-11-05 06:13:26
77.67,70.54,36.48,"5813",2024-11-05 06:13:16
77.67,70.54,36.48,"5813",2024-11-05 06:13:16
77.67,70.54,36.48,"5813",2024-11-05 06:13:16
77.67,70.54,36.48,"5813",2024-11-05 06:13:16
40.5,0.64,32.39,"9127",2024-11-05 06:13:13
40.5,0.64,32.39,"9127",2024-11-05 06:13:13
40.5,0.64,32.39,"9127",2024-11-05 06:13:13
40.5,0.64,32.39,"9127",2024-11-05 06:13:13
40.5,0.64,32.39,"9127",2024-11-05 06:13:13
40.5,0.64,32.39,"9127",2024-11-05 06:13:12
55.42,15.97,34.44,"4747",2024-11-05 06:13:11
55.42,15.97,34.44,"4747",2024-11-05 06:13:11
55.42,15.97,34.44,"4747",2024-11-05 06:13:11
42.5,0.0,30.81,"2202",2024-11-05 06:13:11
42.5,0.0,30.81,"2202",2024-11-05 06:13:11
42.5,0.0,30.81,"2202",2024-11-05 06:13:11
42.5,0.0,30.81,"2202",2024-11-05 06:13:11
42.5,0.0,30.81,"2202",2024-11-05 06:13:06
88.67,89.23,30.34,"9231",2024-11-05 06:12:57
88.67,89.23,30.34,"9231",2024-11-05 06:12:57
88.67,89.23,30.34,"9231",2024-11-05 06:12:57
88.67,89.23,30.34,"9231",2024-11-05 06:12:57
88.67,89.23,30.34,"9231",2024-11-05 06:12:57
88.67,89.23,30.34,"9231",2024-11-05 06:12:48
59.42,18.31,34.73,"9089",2024-11-05 06:12:30
59.42,18.31,34.73,"9089",2024-11-05 06:12:30
59.42,18.31,34.73,"9089",2024-11-05 06:12:30
59.42,18.31,34.73,"9089",2024-11-05 06:12:30
90.42,92.47,30.66,"7832",2024-11-05 06:12:20
90.42,92.47,30.66,"7832",2024-11-05 06:12:20
90.42,92.47,30.66,"7832",2024-11-05 06:12:20
90.42,92.47,30.66,"7832",2024-11-05 06:12:20
90.42,92.47,30.66,"7832",2024-11-05 06:12:20
77.83,70.61,36.46,"5813",2024-11-05 06:12:14
77.83,70.61,36.46,"5813",2024-11-05 06:12:14
77.83,70.61,36.46,"5813",2024-11-05 06:12:14
77.83,70.61,36.46,"5813",2024-11-05 06:12:14
77.83,70.61,36.46,"5813",2024-11-05 06:12:14
55.25,16.62,34.62,"4747",2024-11-05 06:12:13
55.25,16.62,34.62,"4747",2024-11-05 06:12:13
55.25,16.62,34.62,"4747",2024-11-05 06:12:13
55.25,16.62,34.62,"4747",2024-11-05 06:12:13
40.25,0.7,32.54,"9127",2024-11-05 06:12:10
40.25,0.7,32.54,"9127",2024-11-05 06:12:10
40.25,0.7,32.54,"9127",2024-11-05 06:12:10
40.25,0.7,32.54,"9127",2024-11-05 06:12:10
40.25,0.7,32.54,"9127",2024-11-05 06:12:10
50.17,0.0,30.61,"2202",2024-11-05 06:12:02
50.17,0.0,30.61,"2202",2024-11-05 06:12:02
50.17,0.0,30.61,"2202",2024-11-05 06:12:02
50.17,0.0,30.61,"2202",2024-11-05 06:12:02
50.17,0.0,30.61,"2202",2024-11-05 06:12:02
87.5,89.28,30.2,"9231",2024-11-05 06:11:43
87.5,89.28,30.2,"9231",2024-11-05 06:11:43
87.5,89.28,30.2,"9231",2024-11-05 06:11:43
87.5,89.28,30.2,"9231",2024-11-05 06:11:43
87.5,89.28,30.2,"9231",2024-11-05 06:11:43
87.5,89.28,30.2,"9231",2024-11-05 06:11:38
59.58,18.4,34.7,"9089",2024-11-05 06:11:37
59.58,18.4,34.7,"9089",2024-11-05 06:11:37
59.58,18.4,34.7,"9089",2024-11-05 06:11:37
59.58,18.4,34.7,"9089",2024-11-05 06:11:37
59.58,18.4,34.7,"9089",2024-11-05 06:11:37
90.17,92.54,30.76,"7832",2024-11-05 06:11:23
90.17,92.54,30.76,"7832",2024-11-05 06:11:23
90.17,92.54,30.76,"7832",2024-11-05 06:11:23
90.17,92.54,30.76,"7832",2024-11-05 06:11:23
90.17,92.54,30.76,"7832",2024-11-05 06:11:23
77.83,70.65,36.46,"5813",2024-11-05 06:11:18
77.83,70.65,36.46,"5813",2024-11-05 06:11:18
77.83,70.65,36.46,"5813",2024-11-05 06:11:18
77.83,70.65,36.46,"5813",2024-11-05 06:11:18
55.42,17.25,34.79,"4747",2024-11-05 06:11:16
55.42,17.25,34.79,"4747",2024-11-05 06:11:16
55.42,17.25,34.79,"4747",2024-11-05 06:11:16
55.42,17.25,34.79,"4747",2024-11-05 06:11:16
90.17,92.54,30.76,"7832",2024-11-05 06:11:11
40.67,0.7,32.86,"9127",2024-11-05 06:11:03
40.67,0.7,32.86,"9127",2024-11-05 06:11:03
40.67,0.7,32.86,"9127",2024-11-05 06:11:03
40.67,0.7,32.86,"9127",2024-11-05 06:11:03
40.67,0.7,32.86,"9127",2024-11-05 06:11:03
51.17,0.0,30.46,"2202",2024-11-05 06:11:01
51.17,0.0,30.46,"2202",2024-11-05 06:11:01
51.17,0.0,30.46,"2202",2024-11-05 06:11:01
51.17,0.0,30.46,"2202",2024-11-05 06:11:01
51.17,0.0,30.46,"2202",2024-11-05 06:11:01
88.67,89.32,30.09,"9231",2024-11-05 06:10:36
88.67,89.32,30.09,"9231",2024-11-05 06:10:36
88.67,89.32,30.09,"9231",2024-11-05 06:10:36
88.67,89.32,30.09,"9231",2024-11-05 06:10:36
59.58,18.45,34.65,"9089",2024-11-05 06:10:34
59.58,18.45,34.65,"9089",2024-11-05 06:10:34
59.58,18.45,34.65,"9089",2024-11-05 06:10:34
59.58,18.45,34.65,"9089",2024-11-05 06:10:34
59.58,18.45,34.65,"9089",2024-11-05 06:10:34
59.58,18.45,34.65,"9089",2024-11-05 06:10:32
77.83,70.72,36.45,"5813",2024-11-05 06:10:18
77.83,70.72,36.45,"5813",2024-11-05 06:10:18
77.83,70.72,36.45,"5813",2024-11-05 06:10:18
77.83,70.72,36.45,"5813",2024-11-05 06:10:18
77.83,70.72,36.45,"5813",2024-11-05 06:10:15
55.25,17.93,34.98,"4747",2024-11-05 06:10:14
55.25,17.93,34.98,"4747",2024-11-05 06:10:14
55.25,17.93,34.98,"4747",2024-11-05 06:10:14
55.25,17.93,34.98,"4747",2024-11-05 06:10:14
90.42,92.57,31.03,"7832",2024-11-05 06:10:09
90.42,92.57,31.03,"7832",2024-11-05 06:10:09
90.42,92.57,31.03,"7832",2024-11-05 06:10:09
90.42,92.57,31.03,"7832",2024-11-05 06:10:09
40.92,0.71,33.2,"9127",2024-11-05 06:10:07
40.92,0.71,33.2,"9127",2024-11-05 06:10:07
40.92,0.71,33.2,"9127",2024-11-05 06:10:07
40.92,0.71,33.2,"9127",2024-11-05 06:10:07
40.92,0.71,33.2,"9127",2024-11-05 06:10:06
90.42,92.57,31.03,"7832",2024-11-05 06:10:06
51.33,0.0,30.27,"2202",2024-11-05 06:10:02
51.33,0.0,30.27,"2202",2024-11-05 06:10:02
51.33,0.0,30.27,"2202",2024-11-05 06:10:02
51.33,0.0,30.27,"2202",2024-11-05 06:10:02
51.33,0.0,30.27,"2202",2024-11-05 06:10:02
88.25,89.38,29.96,"9231",2024-11-05 06:09:39
88.25,89.38,29.96,"9231",2024-11-05 06:09:39
88.25,89.38,29.96,"9231",2024-11-05 06:09:39
88.25,89.38,29.96,"9231",2024-11-05 06:09:39
88.25,89.38,29.96,"9231",2024-11-05 06:09:39
88.25,89.38,29.96,"9231",2024-11-05 06:09:37
59.42,18.5,34.6,"9089",2024-11-05 06:09:27
59.42,18.5,34.6,"9089",2024-11-05 06:09:27
59.42,18.5,34.6,"9089",2024-11-05 06:09:27
59.42,18.5,34.6,"9089",2024-11-05 06:09:27
59.42,18.5,34.6,"9089",2024-11-05 06:09:27
77.83,70.79,36.44,"5813",2024-11-05 06:09:16
77.83,70.79,36.44,"5813",2024-11-05 06:09:16
77.83,70.79,36.44,"5813",2024-11-05 06:09:16
77.83,70.79,36.44,"5813",2024-11-05 06:09:16
55.42,18.59,35.18,"4747",2024-11-05 06:09:13
55.42,18.59,35.18,"4747",2024-11-05 06:09:13
55.42,18.59,35.18,"4747",2024-11-05 06:09:13
55.42,18.59,35.18,"4747",2024-11-05 06:09:13
55.42,18.59,35.18,"4747",2024-11-05 06:09:13
48.92,0.0,30.1,"2202",2024-11-05 06:09:07
48.92,0.0,30.1,"2202",2024-11-05 06:09:07
48.92,0.0,30.1,"2202",2024-11-05 06:09:07
48.92,0.0,30.1,"2202",2024-11-05 06:09:07
48.92,0.0,30.1,"2202",2024-11-05 06:09:07
40.92,0.68,33.64,"9127",2024-11-05 06:09:00
40.92,0.68,33.64,"9127",2024-11-05 06:09:00
40.92,0.68,33.64,"9127",2024-11-05 06:09:00
40.92,0.68,33.64,"9127",2024-11-05 06:09:00
40.92,0.68,33.64,"9127",2024-11-05 06:09:00
90.17,92.64,31.81,"7832",2024-11-05 06:08:54
90.17,92.64,31.81,"7832",2024-11-05 06:08:54
90.17,92.64,31.81,"7832",2024-11-05 06:08:54
88.25,89.42,29.81,"9231",2024-11-05 06:08:31
88.25,89.42,29.81,"9231",2024-11-05 06:08:31
88.25,89.42,29.81,"9231",2024-11-05 06:08:31
88.25,89.42,29.81,"9231",2024-11-05 06:08:31
88.25,89.42,29.81,"9231",2024-11-05 06:08:27
59.83,18.54,34.56,"9089",2024-11-05 06:08:27
59.83,18.54,34.56,"9089",2024-11-05 06:08:27
59.83,18.54,34.56,"9089",2024-11-05 06:08:27
59.83,18.54,34.56,"9089",2024-11-05 06:08:27
59.83,18.54,34.56,"9089",2024-11-05 06:08:27
59.83,18.54,34.56,"9089",2024-11-05 06:08:27
78.08,70.82,36.46,"5813",2024-11-05 06:08:18
78.08,70.82,36.46,"5813",2024-11-05 06:08:18
78.08,70.82,36.46,"5813",2024-11-05 06:08:18
78.08,70.82,36.46,"5813",2024-11-05 06:08:18
78.08,70.82,36.46,"5813",2024-11-05 06:08:17
55.67,19.31,35.35,"4747",2024-11-05 06:08:11
55.67,19.31,35.35,"4747",2024-11-05 06:08:11
55.67,19.31,35.35,"4747",2024-11-05 06:08:11
55.67,19.31,35.35,"4747",2024-11-05 06:08:11
51.58,0.0,29.87,"2202",2024-11-05 06:08:05
51.58,0.0,29.87,"2202",2024-11-05 06:08:05
51.58,0.0,29.87,"2202",2024-11-05 06:08:05
51.58,0.0,29.87,"2202",2024-11-05 06:08:05
51.58,0.0,29.87,"2202",2024-11-05 06:08:05
90.42,92.71,32.21,"7832",2024-11-05 06:08:00
90.42,92.71,32.21,"7832",2024-11-05 06:08:00
90.42,92.71,32.21,"7832",2024-11-05 06:08:00
90.42,92.71,32.21,"7832",2024-11-05 06:08:00
90.42,92.71,32.21,"7832",2024-11-05 06:08:00
40.67,0.68,33.95,"9127",2024-11-05 06:07:58
40.67,0.68,33.95,"9127",2024-11-05 06:07:58
40.67,0.68,33.95,"9127",2024-11-05 06:07:58
40.67,0.68,33.95,"9127",2024-11-05 06:07:58
40.67,0.68,33.95,"9127",2024-11-05 06:07:58
40.67,0.68,33.95,"9127",2024-11-05 06:07:56
88.92,89.46,29.7,"9231",2024-11-05 06:07:24
88.92,89.46,29.7,"9231",2024-11-05 06:07:24
88.92,89.46,29.7,"9231",2024-11-05 06:07:24
88.92,89.46,29.7,"9231",2024-11-05 06:07:24
88.92,89.46,29.7,"9231",2024-11-05 06:07:24
59.58,18.6,34.5,"9089",2024-11-05 06:07:24
59.58,18.6,34.5,"9089",2024-11-05 06:07:24
59.58,18.6,34.5,"9089",2024-11-05 06:07:24
59.58,18.6,34.5,"9089",2024-11-05 06:07:24
59.58,18.6,34.5,"9089",2024-11-05 06:07:24
59.58,18.6,34.5,"9089",2024-11-05 06:07:22
78.25,70.86,36.47,"5813",2024-11-05 06:07:14
78.25,70.86,36.47,"5813",2024-11-05 06:07:14
78.25,70.86,36.47,"5813",2024-11-05 06:07:14
78.25,70.86,36.47,"5813",2024-11-05 06:07:14
78.25,70.86,36.47,"5813",2024-11-05 06:07:14
55.67,19.98,35.53,"4747",2024-11-05 06:07:10
55.67,19.98,35.53,"4747",2024-11-05 06:07:10
55.67,19.98,35.53,"4747",2024-11-05 06:07:10
55.67,19.98,35.53,"4747",2024-11-05 06:07:09
47.92,0.0,29.63,"2202",2024-11-05 06:07:07
47.92,0.0,29.63,"2202",2024-11-05 06:07:07
47.92,0.0,29.63,"2202",2024-11-05 06:07:07
47.92,0.0,29.63,"2202",2024-11-05 06:07:07
47.92,0.0,29.63,"2202",2024-11-05 06:07:01
55.67,19.98,35.53,"4747",2024-11-05 06:06:58
40.67,0.68,34.01,"9127",2024-11-05 06:06:53
40.67,0.68,34.01,"9127",2024-11-05 06:06:53
